BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,APPDATE,CITY,STATE,DIVISION,REGION,Upper state,State_1,Records
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,,22040,oregon,Wisconsin,East North Central,Midwest,WISCONSIN,WI,1
1,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,,22229,churchton,Maryland,South Atlantic,South,MARYLAND,MD,1
1,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,,21396,orcas,Washington,Pacific,West,WASHINGTON,WA,1
1,1500,,,,,,,,,,,,22213,hastings,Florida,South Atlantic,South,FLORIDA,FL,1
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,,22329,wilmington,California,Pacific,West,CALIFORNIA,CA,1
1,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356,21534,olympia,Washington,Pacific,West,WASHINGTON,WA,1
1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,,21936,williston,Florida,South Atlantic,South,FLORIDA,FL,1
1,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409,21804,longview,Washington,Pacific,West,WASHINGTON,WA,1
1,2000,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,,21724,elma,Washington,Pacific,West,WASHINGTON,WA,1
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,,21713,montclair,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
1,2000,22608,,,,18,,,,,,,22116,whittier,California,Pacific,West,CALIFORNIA,CA,1
1,2000,20627,29800,HomeImp,Office,11,0,1,122.5333333,1,9,,20919,orlando,Florida,South Atlantic,South,FLORIDA,FL,1
1,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,,22438,elm grove,Wisconsin,East North Central,Midwest,WISCONSIN,WI,1
0,2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,,22453,hatboro,Pennsylvania,Middle Atlantic,Northeast,PENNSYLVANIA,PA,1
1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,,21128,linden,Michigan,East North Central,Midwest,MICHIGAN,MI,1
1,2200,24280,34687,HomeImp,Other,,0,1,300.8666667,0,8,,21580,wildomar,California,Pacific,West,CALIFORNIA,CA,1
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,,21900,minier,Illinois,East North Central,Midwest,ILLINOIS,IL,1
1,2200,23030,,,,19,,,,,,3.7113123,21657,los banos,California,Pacific,West,CALIFORNIA,CA,1
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,,21687,anchorage,Alaska,Pacific,West,ALASKA,AK,1
0,2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318,22593,lufkin,Texas,West South Central,South,TEXAS,TX,1
1,2300,37626,46200,HomeImp,Other,3,0,1,122.2666667,1,14,,21045,waymart,Pennsylvania,Middle Atlantic,Northeast,PENNSYLVANIA,PA,1
1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,,22602,hemet,California,Pacific,West,CALIFORNIA,CA,1
1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,,20965,new ulm,Minnesota,West North Central,Midwest,MINNESOTA,MN,1
1,2400,18000,,HomeImp,Mgr,22,,2,121.7333333,0,10,,21214,lynchburg,Virginia,South Atlantic,South,VIRGINIA,VA,1
1,2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,,21601,lincolnton,Georgia,South Atlantic,South,GEORGIA,GA,1
1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073,21423,louisville,Georgia,South Atlantic,South,GEORGIA,GA,1
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705,21990,ewell,Maryland,South Atlantic,South,MARYLAND,MD,1
1,2500,15000,20200,HomeImp,,18,0,0,136.0666667,1,19,,22542,louisville,Mississippi,East South Central,South,MISSISSIPPI,MS,1
1,2500,25116,36350,HomeImp,Other,10,1,2,276.9666667,0,9,,20942,hermosa beach,California,Pacific,West,CALIFORNIA,CA,1
0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,,21101,darlington,South Carolina,South Atlantic,South,SOUTH CAROLINA,SC,1
0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,,21564,helper,Utah,Mountain,West,UTAH,UT,1
1,2800,50795,63100,HomeImp,Self,26,2,15,145.6333333,3,45,,22586,oceano,California,Pacific,West,CALIFORNIA,CA,1
1,2800,4000,60850,HomeImp,Other,16,4,0,112.6333333,2,9,,22063,monroe,North Carolina,South Atlantic,South,NORTH CAROLINA,NC,1
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,,22378,columbia,South Carolina,South Atlantic,South,SOUTH CAROLINA,SC,1
0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629,21787,hopkinsville,Kentucky,East South Central,South,KENTUCKY,KY,1
0,2900,104373,120702,HomeImp,Office,2,0,0,101.5402975,0,13,29.91585903,21867,butler,Kentucky,East South Central,South,KENTUCKY,KY,1
1,2900,7750,67996,HomeImp,Other,16,3,0,122.2046628,2,8,36.211348,21144,highland,Indiana,East North Central,Midwest,INDIANA,IN,1
1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8016592,3,37,49.20639579,22165,chandler,Arizona,Mountain,West,ARIZONA,AZ,1
0,3000,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327,22374,odem,Texas,West South Central,South,TEXAS,TX,1
1,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,,21166,ely,Nevada,Mountain,West,NEVADA,NV,1
1,3000,,8800,HomeImp,Other,2,0,1,77.76666667,0,3,,21218,montclair,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,,21910,williston,Florida,South Atlantic,South,FLORIDA,FL,1
1,3000,119826,193500,HomeImp,Other,8,0,0,130.0333585,0,27,,21429,woodbridge,Virginia,South Atlantic,South,VIRGINIA,VA,1
1,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,,21689,corvallis,Oregon,Pacific,West,OREGON,OR,1
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,,21725,mattapoisett,Massachusetts,New England,Northeast,MASSACHUSETTS,MA,1
1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,,21877,lodi,California,Pacific,West,CALIFORNIA,CA,1
1,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.1666667,5,26,,21272,celina,Ohio,East North Central,Midwest,OHIO,OH,1
1,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.36666667,0,10,,21711,orem,Utah,Mountain,West,UTAH,UT,1
0,3000,58000,71500,HomeImp,Mgr,10,,2,211.9333333,0,25,,22225,hidalgo,Texas,West South Central,South,TEXAS,TX,1
0,3000,47000,56400,HomeImp,Office,21,0,0,201.8666667,0,20,,20925,north rose,New York,Middle Atlantic,Northeast,NEW YORK,NY,1
1,3100,39589,36100,HomeImp,Other,1.5,0,0,153.1666667,1,14,,21616,montclair,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
0,3100,,70400,,,,,,,,,,20963,corvallis,Oregon,Pacific,West,OREGON,OR,1
0,3200,67848,74566,HomeImp,Mgr,10,,1,206.4266021,0,25,40.11567728,21263,waxahachie,Texas,West South Central,South,TEXAS,TX,1
1,3200,48603,61000,HomeImp,ProfExe,28,0,4,122.0333333,1,25,,21586,los angeles,California,Pacific,West,CALIFORNIA,CA,1
1,3200,27200,40834,HomeImp,Other,,0,0,298.131564,0,7,35.55353879,20934,willis,Texas,West South Central,South,TEXAS,TX,1
1,3200,54000,64850,HomeImp,Other,1,0,0,121.8666667,3,21,,21382,huntington,Indiana,East North Central,Midwest,INDIANA,IN,1
0,3200,74864,87266,HomeImp,ProfExe,7,0,0,250.6312692,0,12,42.90999735,21923,west orange,New Jersey,Middle Atlantic,Northeast,NEW JERSEY,NJ,1
1,3200,23159,,HomeImp,Mgr,20,,2,117.8057478,0,9,0.524499215,21722,marion,Indiana,East North Central,Midwest,INDIANA,IN,1
1,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,,21321,dewey,Arizona,Mountain,West,ARIZONA,AZ,1
1,3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919,21375,midlothian,Virginia,South Atlantic,South,VIRGINIA,VA,1
1,3400,37000,52000,HomeImp,Office,2,0,1,183.2999156,0,6,,22476,hermosa beach,California,Pacific,West,CALIFORNIA,CA,1
