,"('Period_YYYY_MM', '')",Period_1,"('No_of_Credit_Cards', 'AMEX')","('No_of_Credit_Cards', 'AXIS')","('No_of_Credit_Cards', 'HDFC')","('No_of_Credit_Cards', 'ICICI')","('No_of_Credit_Cards', 'INDUSIND')","('No_of_Credit_Cards', 'KOTAK')","('No_of_Credit_Cards', 'Others')","('No_of_Credit_Cards', 'RBL')","('No_of_Credit_Cards', 'SBI')","('No_of_Credit_Cards', 'Grand_Total')","('Total_Credit_Card_Purchase_Value', 'AMEX')","('Total_Credit_Card_Purchase_Value', 'AXIS')","('Total_Credit_Card_Purchase_Value', 'HDFC')","('Total_Credit_Card_Purchase_Value', 'ICICI')","('Total_Credit_Card_Purchase_Value', 'INDUSIND')","('Total_Credit_Card_Purchase_Value', 'KOTAK')","('Total_Credit_Card_Purchase_Value', 'Others')","('Total_Credit_Card_Purchase_Value', 'RBL')","('Total_Credit_Card_Purchase_Value', 'SBI')"
0,2022/04,2022/04/01,1375307,9261251,16833724,13128334,1922608,3425409,11518627,3754269,13946540,75166069,30970444884,91756519642,2.90795E+11,2.07253E+11,51788192886,28412443905,1.15703E+11,41916028273,1.95997E+11
1,2022/05,2022/05/01,1366552,9475786,17219010,13340781,1972365,3606571,11919411,3827746,14148758,76876980,30307550242,95722195305,3.14789E+11,2.18586E+11,60773013958,32664102005,1.25864E+11,45875591243,2.12354E+11
2,2022/06,2022/06/01,1360776,9704719,17605497,13531271,2029218,3869513,12391147,3914742,14315734,78722617,29792428945,1.00958E+11,2.95783E+11,2.16682E+11,55490788904,32858630379,1.23474E+11,44115351174,1.88362E+11
3,2022/07,2022/07/01,1356420,9932333,17949861,13725493,1822569,4052093,12877031,4005255,14534667,80255722,30180808053,1.00652E+11,3.28449E+11,2.33462E+11,56828957918,36319737420,1.32235E+11,46751561392,1.93678E+11
4,2022/08,2022/08/01,1353402,8879353,16428971,13937013,1869104,4107595,12540316,4044789,14830926,77991469,30950393010,1.03214E+11,3.24305E+11,2.00706E+11,47699211235,38096698242,1.3604E+11,46536165145,1.96029E+11
5,2022/09,2022/09/01,1299223,8824819,16328522,13316346,1931403,4299906,12775690,4097800,14828035,77701744,31420069551,1.27883E+11,3.25019E+11,2.36312E+11,45048778376,39612414946,1.34093E+11,48196982765,2.33353E+11
6,2022/10,2022/10/01,1304696,9086186,16546501,13537626,1964481,4519524,13074841,4166704,15167195,79367754,32244335926,1.13163E+11,3.75334E+11,2.16612E+11,74423642525,41560795718,1.4972E+11,54401435404,2.33024E+11
7,2022/11,2022/11/01,1313008,9294011,16782602,13431626,2018773,4597686,13382576,4230404,15555633,80606319,32403930821,1.04306E+11,3.26498E+11,1.83355E+11,65039206045,37502781247,1.3888E+11,49941062143,2.10014E+11
8,2022/12,2022/12/01,1317153,9443017,17012255,13527648,2068093,4736952,12960826,4237024,15883906,81186874,34196278601,1.13518E+11,3.56949E+11,2.0692E+11,68821032677,41488255874,1.51771E+11,54087653123,2.37486E+11
9,2023/01,2023/01/01,1326051,9585255,17235273,13655812,2117950,4809780,13192411,4319355,16210142,82452029,31712092219,1.17634E+11,3.52317E+11,2.17975E+11,64650935391,43341918217,1.52371E+11,53849718052,2.42972E+11
